X,CH1,CH2,CH3,Start,Increment
Sequence,Volt,Volt,Volt,-0.262,0.001
434,0,1.56,5,,
435,5.2,1.62,-0.2,,
436,0,1.56,5,,
437,5.2,1.62,-0.2,,
438,-0.2,1.58,5,,
439,5.2,1.62,-0.2,,
440,0,1.58,5,,
441,5.2,1.64,-0.2,,
442,-0.2,1.58,5,,
443,5.2,1.64,-0.2,,
444,5.2,1.58,5,,
445,-0.2,1.66,-0.2,,
446,5.2,1.66,5,,
447,0,1.54,-0.2,,
448,0,1.66,5,,
449,5.2,1.6,-0.2,,
450,5.2,1.68,5,,
451,-0.2,1.52,-0.2,,
452,5.2,1.6,-0.2,,
453,0,1.68,5,,
454,5.2,1.44,5,,
455,-0.2,1.68,-0.2,,
456,5.2,1.68,-0.2,,
457,0,1.62,5,,
458,5.2,1.68,-0.2,,
459,0,1.52,5,,
460,5.2,1.68,5,,
461,0,1.58,-0.2,,
462,5.2,1.68,-0.2,,
463,-0.2,1.56,5,,
464,5.2,1.68,-0.2,,
465,0,1.62,5,,
466,5.2,1.68,-0.2,,
467,-0.2,1.64,5,,
468,5.2,1.62,-0.2,,
469,-0.2,1.72,5,,
470,5.2,1.72,-0.2,,
471,0,1.64,5,,
472,5.2,1.66,5,,
473,0,1.72,-0.2,,
474,5.2,1.72,5,,
475,0,1.66,-0.2,,
476,5.2,1.72,5,,
477,-0.2,1.6,-0.2,,
478,5.2,1.72,5,,
479,0,1.66,-0.2,,
480,5.2,1.74,5,,
481,0,1.56,-0.2,,
482,5.2,1.74,5,,
483,-0.2,1.68,-0.2,,
484,5.2,1.74,5,,
485,-0.2,1.66,-0.2,,
486,5.2,1.7,5,,
487,-0.2,1.74,-0.2,,
488,5.2,1.74,5,,
489,-0.2,1.7,-0.2,,
490,5.2,1.7,5,,
491,0,1.74,-0.2,,
492,5.2,1.74,5,,
493,-0.2,1.7,-0.2,,
494,5.2,1.78,-0.2,,
495,0,1.64,5,,
496,5.2,1.76,-0.2,,
497,-0.2,1.68,5,,
498,5.2,1.78,-0.2,,
499,0,1.68,5,,
500,5.2,1.78,-0.2,,
501,0,1.64,5,,
502,-0.2,1.64,-0.2,,
503,5.2,1.78,5,,
504,-0.2,1.66,-0.2,,
505,5.2,1.78,5,,
506,0,1.7,-0.2,,
507,5.2,1.8,5,,
508,0,1.62,-0.2,,
509,5.2,1.8,5,,
510,5.2,1.74,-0.2,,
511,-0.2,1.8,5,,
512,0,1.76,-0.2,,
513,5.2,1.8,5,,
514,0,1.74,-0.2,,
515,5.2,1.8,5,,
516,0,1.64,5,,
517,5.2,1.8,-0.4,,
518,-0.2,1.8,5,,
519,5.2,1.74,-0.2,,
520,0,1.6,5,,
521,5.2,1.8,-0.4,,
522,-0.2,1.8,5,,
523,5.2,1.72,-0.2,,
524,-0.2,1.76,5,,
525,5.2,1.82,-0.2,,
526,-0.2,1.76,5,,
527,5.2,1.82,-0.2,,
528,0,1.78,5,,
529,5.2,1.82,-0.2,,
530,-0.2,1.78,5,,
531,5.2,1.82,-0.2,,
532,5.2,1.82,5,,
533,-0.2,1.76,-0.2,,
534,0,1.78,5,,
535,5.2,1.86,-0.4,,
536,-0.2,1.78,-0.2,,
537,5.2,1.86,5,,
538,-0.2,1.78,-0.2,,
539,5.2,1.86,5,,
540,0,1.86,-0.2,,
541,5.2,1.78,5,,
542,-0.2,1.86,-0.2,,
543,5.2,1.82,5,,
544,0,1.86,-0.2,,
545,5.2,1.82,5,,
546,-0.2,1.86,-0.2,,
547,5.2,1.82,5,,
548,-0.2,1.86,-0.2,,
549,5.2,1.82,5,,
550,5.2,1.86,-0.2,,
551,-0.2,1.82,5,,
552,5.2,1.84,-0.2,,
553,0,1.88,5,,
554,5.2,1.88,-0.2,,
555,-0.2,1.82,5,,
556,0,1.88,-0.2,,
557,5.2,1.84,5,,
558,5.2,1.84,5,,
559,-0.2,1.9,-0.2,,
560,5.2,1.88,5,,
561,-0.2,1.82,-0.2,,
562,5.2,1.84,5,,
563,-0.2,1.92,-0.2,,
564,5.2,1.84,5,,
565,0,1.92,-0.2,,
566,5.2,1.92,5,,
567,0,1.84,-0.2,,
568,5.2,1.92,5,,
569,0,1.82,-0.2,,
570,5.2,1.86,5,,
571,-0.2,1.92,-0.2,,
572,5.2,1.92,5,,
573,-0.2,1.82,-0.2,,
574,5.2,1.94,5,,
575,-0.2,1.86,-0.2,,
576,5.2,1.92,5,,
577,0,1.84,-0.2,,
578,5.2,1.92,5,,
579,0,1.86,-0.2,,
580,5.2,1.94,5,,
581,0,1.86,-0.2,,
